	Kingdom	Phylum	SGB
kSGB_16653_(Brachybacterium_alimentarium)	Bacteria	Actinobacteria	kSGB
kSGB_16651_(Brachybacterium_faecium)	Bacteria	Actinobacteria	kSGB
uSGB_65147_(Brachyspira_genus)	Bacteria	Actinobacteria	uSGB
kSGB_5970_(Brachyspira_murdochii)	Bacteria	Spirochaetota	kSGB
uSGB_45253_(Brachyspiraceae_family)	Bacteria	Spirochaetota	uSGB
kSGB_16641_(Brevibacterium_sp_239c)	Bacteria	Actinobacteria	kSGB
kSGB_14991_(Butyricicoccus_sp_AM29_23AC)	Bacteria	Bacteroidetes	kSGB
uSGB_1783_(Butyricimonas_genus)	Bacteria	Bacteroidetes	uSGB
kSGB_1784_(Butyricimonas_virosa)	Bacteria	Bacteroidetes	kSGB
kSGB_5065_(Butyrivibrio_crossotus)	Bacteria	Bacteroidetes	kSGB
kSGB_8526_(Candidatus_Arthromitus_sp_SFB_mouse)	Bacteria	Firmicutes	kSGB
kSGB_8601_(Candidatus_Gastranaerophilales_bacterium)	Bacteria	Firmicutes	kSGB
kSGB_9369_(Candidatus_Rickettsiella_isopodorum)	Bacteria	Firmicutes	kSGB
uSGB_44328_(Candidatus_Gastranaerophilales_unclassified_family)	Bacteria	Firmicutes	uSGB
uSGB_44330_(Candidatus_Gastranaerophilales_unclassified_family)	Bacteria	Firmicutes	uSGB
uSGB_8622_(Candidatus_Gastranaerophilales_unclassified_family)	Bacteria	Firmicutes	uSGB
uSGB_8630_(Candidatus_Gastranaerophilales_unclassified_family)	Bacteria	Firmicutes	uSGB
uSGB_47066_(Candidatus_Halichondribacter_genus)	Bacteria	Firmicutes	uSGB
uSGB_53822_(Candidatus_Marinamargulisbacteria_unclassified_genus)	Bacteria	Firmicutes	uSGB
uSGB_53832_(Candidatus_Marinimicrobia_unclassified_genus)	Bacteria	Firmicutes	uSGB
uSGB_47840_(Candidatus_Marinimicrobia_unclassified_genus)	Bacteria	Firmicutes	uSGB
uSGB_64991_(Candidatus_Melainabacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_44381_(Candidatus_Melainabacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39778_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39777_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39776_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39781_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39770_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_39774_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
uSGB_65425_(Candidatus_Saccharibacteria_phylum)	Bacteria	Firmicutes	uSGB
kSGB_6778_(Catenibacterium_mitsuokai)	Bacteria	Firmicutes	kSGB
kSGB_6783_(Catenibacterium_sp_AM22_15)	Bacteria	Firmicutes	kSGB
kSGB_14995_(Clostridia_bacterium_UC5_1_1D1)	Bacteria	Firmicutes	kSGB
kSGB_4716_(Clostridiaceae_bacterium_AF02_42)	Bacteria	Firmicutes	kSGB
uSGB_41702_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41697_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41700_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41701_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_59821_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41704_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41705_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_4721_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_6173_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_41703_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_14987_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_4648_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
uSGB_4894_(Clostridiaceae_family)	Bacteria	Firmicutes	uSGB
kSGB_4763_(Clostridiales_bacterium_1_7_47FAA)	Bacteria	Firmicutes	kSGB
kSGB_5090_(Clostridiales_bacterium_KLE1615)	Bacteria	Firmicutes	kSGB
kSGB_4592_(Clostridiales_bacterium_Marseille_P5551)	Bacteria	Firmicutes	kSGB
kSGB_4530_(Clostridiales_bacterium_VE202_09)	Bacteria	Firmicutes	kSGB
kSGB_6136_(Clostridioides_difficile)	Bacteria	Firmicutes	kSGB
kSGB_4762_(Clostridium_aldenense)	Bacteria	Firmicutes	kSGB
kSGB_4758_(Clostridium_bolteae)	Bacteria	Firmicutes	kSGB
kSGB_6170_(Clostridium_butyricum)	Bacteria	Firmicutes	kSGB
kSGB_4760_(Clostridium_clostridioforme)	Bacteria	Firmicutes	kSGB
kSGB_6748_(Clostridium_cocleatum)	Bacteria	Firmicutes	kSGB
kSGB_29095_(Clostridium_cuniculi)	Bacteria	Firmicutes	kSGB
